Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
60,11/10/21-ALG-MI-60,Microalgae,Wet,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-24.26,2.08,11.61,1.16,10.00862069,-4.8,2.1,2.4334,-80.72674626,25.17540026
60,5/11/22-ALG-MI-60,Microalgae,Dry,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-22.68,2.04,7.8,0.91,8.571428571,-7.1,1.44,2.1953,-80.72674626,25.17540026
61,11/10/21-ALG-MI-61,Microalgae,Wet,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-24.04,2.48,12.49,1.35,9.251851852,-1.9,1.69,0.3202,-80.73227537,25.1825992
61,5/11/22-ALG-MI-61,Microalgae,Dry,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-22.14,2.42,8.32,1.05,7.923809524,-4.6,1.49,0.6077,-80.73227537,25.1825992
62,11/10/21-ALG-MI-62,Microalgae,Wet,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-24.29,2.6,7.71,0.86,8.965116279,-10.3,1.78,0.5254,-80.73329107,25.17902417
62,5/11/22-ALG-MI-62,Microalgae,Dry,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-22.79,2.85,5.45,0.76,7.171052632,-10.9,1.48,0.7489,-80.73329107,25.17902417
63,11/10/21-ALG-MO-63,Microalgae,Wet,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-25.93,3.12,13.76,1.71,8.046783626,7.3,1.62,2.899,-80.74303961,25.18166491
63,5/11/22-ALG-MO-63,Microalgae,Dry,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-21.7,1.72,9.19,1.41,6.517730496,-3.1,1.19,1.1896,-80.74303961,25.18166491
64,11/10/21-ALG-MO-64,Microalgae,Wet,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-26.32,3.53,13.25,2.09,6.339712919,6.7,1.24,0.7446,-80.74646378,25.17579064
64,5/11/22-ALG-MO-64,Microalgae,Dry,Monroe Lake,McCormick Creek System,McCormick Creek System,,Downstream,-21.89,2.06,5.76,0.93,6.193548387,-2,0.92,0.3472,-80.74646378,25.17579064
